date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:58	69/69	---MCZ	200	added ('OK')	text/plain	date:Thu,%2028%20Apr%202022%2001:25:15%20GMT	https://www.roboticssummit.com/robots.txt		(from )
00:34:58	158036/158036	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:34:57%20GMT	https://www.roboticssummit.com/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/index.html	(from )
00:34:59	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2028%20Apr%202022%2004:34:58%20GMT	https://www.roboticssummit.com/xmlrpc.php	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/xmlrpc.php	(from https://www.roboticssummit.com/)
00:34:59	28348/28348	---M--	200	added ('OK')	image/png	etag:%2261a53438-d5b7%22	https://www.roboticssummit.com/wp-content/uploads/2018/10/RoboticsSummitExpo_logo.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2018/10/RoboticsSummitExpo_logo.png	(from https://www.roboticssummit.com/)
00:34:59	83419/83419	---MCZ	200	added ('OK')	text/css	etag:W/%22624d1fc9-145db%22	https://www.roboticssummit.com/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-includes/css/dist/block-library/style.min.css	(from https://www.roboticssummit.com/)
00:34:59	60289/60289	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343b-eb81%22	https://www.roboticssummit.com/wp-content/plugins/revslider/public/assets/css/rs6.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/revslider/public/assets/css/rs6.css	(from https://www.roboticssummit.com/)
00:34:59	547/547	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-223%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/reset.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/reset.css	(from https://www.roboticssummit.com/)
00:34:59	3140/3140	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-c44%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/wordpress.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/wordpress.css	(from https://www.roboticssummit.com/)
00:35:00	7205/7205	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-1c25%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/animation.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/animation.css	(from https://www.roboticssummit.com/)
00:35:00	7662/7662	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-1dee%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/ilightbox/ilightbox.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/ilightbox/ilightbox.css	(from https://www.roboticssummit.com/)
00:35:00	15316/15316	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2291ee67fbbd413d74d6dbe23929909c57-gzip%22	https://www.roboticssummit.com/feed/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/feed/index.html	(from https://www.roboticssummit.com/)
00:35:00	19781/19781	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-4d45%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/jqueryui/custom.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/jqueryui/custom.css	(from https://www.roboticssummit.com/)
00:35:00	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%2261a53437-2bf8%22	https://www.roboticssummit.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://www.roboticssummit.com/)
00:35:01	5776/5776	---MCZ	200	added ('OK')	text/css	etag:W/%2261a53439-1690%22	https://www.roboticssummit.com/wp-content/themes/grandconference/js/flexslider/flexslider.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/js/flexslider/flexslider.css	(from https://www.roboticssummit.com/)
00:35:01	8960/8960	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-2300%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/tooltipster.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/tooltipster.css	(from https://www.roboticssummit.com/)
00:35:01	3798/3798	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-ed6%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/odometer-theme-minimal.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/odometer-theme-minimal.css	(from https://www.roboticssummit.com/)
00:35:01	168473/168473	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-29219%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/screen.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/screen.css	(from https://www.roboticssummit.com/)
00:35:01	836/836	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224f9dc76670a6b7ebe4b0768e308b391c-gzip%22	https://www.roboticssummit.com/comments/feed/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/comments/feed/index.html	(from https://www.roboticssummit.com/)
00:35:01	1354/1354	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-54a%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/menus/leftalignmenu.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/menus/leftalignmenu.css	(from https://www.roboticssummit.com/)
00:35:02	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-7187%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/font-awesome.min.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/font-awesome.min.css	(from https://www.roboticssummit.com/)
00:35:02	16396/16396	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-400c%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/themify-icons.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/themify-icons.css	(from https://www.roboticssummit.com/)
00:35:02	7959/7959	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2004:35:02%20GMT	https://www.roboticssummit.com/wp-admin/admin-ajax.php?action=grandconference_custom_css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-admin/admin-ajaxb700.css	(from https://www.roboticssummit.com/)
00:35:03	752/752	---MCZ	200	added ('OK')	text/css	etag:W/%226222ef8b-2f0%22	https://www.roboticssummit.com/wp-content/plugins/meks-easy-instagram-widget/css/widget.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/meks-easy-instagram-widget/css/widget.css	(from https://www.roboticssummit.com/)
00:35:03	44431/44431	---MCZ	200	added ('OK')	text/css	etag:W/%2261a5343a-ad8f%22	https://www.roboticssummit.com/wp-content/themes/grandconference/css/grid.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/css/grid.css	(from https://www.roboticssummit.com/)
00:35:03	0/0	---M--	200	added ('OK')	text/css	etag:%2261a53439-0%22	https://www.roboticssummit.com/wp-content/themes/grandconference/modules/kirki/assets/css/kirki-styles.css	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/themes/grandconference/modules/kirki/assets/css/kirki-styles.css	(from https://www.roboticssummit.com/)
00:35:03	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a53437-15db1%22	https://www.roboticssummit.com/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-includes/js/jquery/jquery.min.js	(from https://www.roboticssummit.com/)
00:35:03	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a53437-2bd8%22	https://www.roboticssummit.com/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.roboticssummit.com/)
00:35:04	121722/121722	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a5343b-1db7a%22	https://www.roboticssummit.com/wp-content/plugins/revslider/public/assets/js/rbtools.min.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/revslider/public/assets/js/rbtools.min.js	(from https://www.roboticssummit.com/)
00:35:04	334809/334809	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a5343b-51bd9%22	https://www.roboticssummit.com/wp-content/plugins/revslider/public/assets/js/rs6.min.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/revslider/public/assets/js/rs6.min.js	(from https://www.roboticssummit.com/)
00:35:04	5970/5970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d462c0-1752%22	https://www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider-plus/inc/jquery.tinycarousel.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider-plus/inc/jquery.tinycarousel.js	(from https://www.roboticssummit.com/)
00:35:04	5970/5970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d462bf-1752%22	https://www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider/inc/jquery.tinycarousel.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider/inc/jquery.tinycarousel.js	(from https://www.roboticssummit.com/)
00:35:05	94024/94024	---MCZ	200	added ('OK')	application/json	date:Thu,%2028%20Apr%202022%2004:35:04%20GMT	https://www.roboticssummit.com/wp-json/wp/v2/pages/2775	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-json/wp/v2/pages/2775.json	(from https://www.roboticssummit.com/)
